date,portfolio_value
2010-09-30,100058.01048615703
2010-10-01,99573.71534779247
2010-10-04,99623.04263987954
2010-10-05,99182.82615510386
2010-10-06,100639.44107220402
2010-10-07,100437.03906444742
2010-10-08,100227.62449541954
2010-10-11,100557.63707018466
2010-10-12,100329.22675251604
2010-10-13,100977.0735499215
2010-10-14,102019.67371241309
2010-10-15,101589.98341731021
2010-10-18,101925.79150821918
2010-10-19,102094.58970391985
2010-10-20,101076.15735472704
2010-10-21,102022.86735627969
2010-10-22,102275.88132453867
2010-10-25,102521.29037510656
2010-10-26,102560.9552070349
2010-10-27,102844.25057975537
2010-10-28,102421.70036442889
2010-10-29,102368.91301150403
2010-11-01,102013.2009543745
2010-11-02,102857.32380193046
2010-11-03,103099.0761412824
2010-11-04,103447.80760730102
2010-11-05,104889.12262573946
2010-11-08,105133.00911223597
2010-11-09,105054.54321451983
2010-11-10,104594.07570812845
2010-11-11,104733.74384264246
2010-11-12,104586.57002224503
2010-11-15,103780.33734752414
2010-11-16,103632.02750084831
2010-11-17,102485.82737034502
2010-11-18,102166.15539449532
2010-11-19,103288.05958678931
2010-11-22,103946.30293813847
2010-11-23,104279.25815797952
2010-11-24,103315.9033860883
2010-11-26,104846.84862818483
2010-11-29,103308.61560558686
2010-11-30,103227.61014085218
2010-12-01,102075.15176817428
2010-12-02,103272.0388490194
2010-12-03,103818.85765105838
2010-12-06,104194.15498916939
2010-12-07,104256.31746789835
2010-12-08,104236.10809774448
2010-12-09,104403.90103564571
2010-12-10,105036.32595887872
2010-12-13,105387.69589586672
2010-12-14,105481.85336181018
2010-12-15,105024.11783259074
2010-12-16,104946.96137997592
2010-12-17,104806.87775592563
2010-12-20,104617.36744923421
2010-12-21,104634.60027089517
2010-12-22,105053.91486851365
2010-12-23,105435.41482007051
2010-12-27,105468.77622916037
2010-12-28,105467.38320648941
2010-12-29,105507.10931811812
2010-12-30,105547.08653425351
2010-12-31,104692.80083218697
2011-01-03,104814.47669391421
2011-01-04,104809.15694403945
2011-01-05,104718.38283377579
2011-01-06,105069.75601461266
2011-01-07,104830.79122561126
2011-01-10,104820.36714264509
2011-01-11,104639.81504517191
2011-01-12,104580.53610034457
2011-01-13,105872.43112794479
2011-01-14,105637.57960387295
2011-01-18,106202.68689229907
2011-01-19,106059.04774857807
2011-01-20,105224.41976968433
2011-01-21,104646.7925815304
2011-01-24,105301.3181782409
2011-01-25,106371.82613635306
2011-01-26,107064.25614145295
2011-01-27,108251.42144977457
2011-01-28,107785.10788419833
2011-01-31,105611.18274244564
2011-02-01,106123.02230847644
2011-02-02,107593.53879863859
2011-02-03,107474.63539336393
2011-02-04,106878.8416300996
2011-02-07,107160.76231480553
2011-02-08,107885.49548096683
2011-02-09,108169.92851054612
2011-02-10,108091.24561082802
2011-02-11,108456.18586008233
2011-02-14,108500.38639825115
2011-02-15,108733.2762410528
2011-02-16,108293.40552484777
2011-02-17,109043.37973876935
2011-02-18,109435.39390750896
2011-02-22,109731.82263731277
2011-02-23,106764.52950070213
2011-02-24,106039.90200166707
2011-02-25,107196.03733700952
2011-02-28,107833.91220822978
2011-03-01,108472.49281343549
2011-03-02,107033.02101816991
